Date,TSLA
21/12/2012,2.266667
24/12/2012,2.285333
26/12/2012,2.239333
27/12/2012,2.246
28/12/2012,2.214667
31/12/2012,2.258
02/01/2013,2.357333
03/01/2013,2.318
04/01/2013,2.293333
07/01/2013,2.289333
08/01/2013,2.245333
09/01/2013,2.242667
10/01/2013,2.235333
11/01/2013,2.194
14/01/2013,2.217333
15/01/2013,2.26
16/01/2013,2.273333
17/01/2013,2.292
18/01/2013,2.301333
22/01/2013,2.346
23/01/2013,2.4
24/01/2013,2.466
25/01/2013,2.465333
28/01/2013,2.535333
29/01/2013,2.53
30/01/2013,2.501333
31/01/2013,2.500667
01/02/2013,2.553333
04/02/2013,2.516
05/02/2013,2.542
06/02/2013,2.611333
07/02/2013,2.632
08/02/2013,2.616
11/02/2013,2.561333
12/02/2013,2.526
13/02/2013,2.563333
14/02/2013,2.551333
15/02/2013,2.469333
19/02/2013,2.618667
20/02/2013,2.569333
21/02/2013,2.344
22/02/2013,2.407333
25/02/2013,2.292
26/02/2013,2.295333
27/02/2013,2.34
28/02/2013,2.322
01/03/2013,2.31
04/03/2013,2.372
05/03/2013,2.443333
06/03/2013,2.512667
07/03/2013,2.548667
08/03/2013,2.564667
11/03/2013,2.606667
12/03/2013,2.608
13/03/2013,2.598667
14/03/2013,2.456667
15/03/2013,2.352667
18/03/2013,2.343333
19/03/2013,2.338667
20/03/2013,2.396667
21/03/2013,2.400667
22/03/2013,2.441333
25/03/2013,2.502
26/03/2013,2.524
27/03/2013,2.544
28/03/2013,2.526
01/04/2013,2.928667
02/04/2013,2.956
03/04/2013,2.74
04/04/2013,2.800667
05/04/2013,2.758
08/04/2013,2.788667
09/04/2013,2.7
10/04/2013,2.790667
11/04/2013,2.906
12/04/2013,2.916667
15/04/2013,2.886667
16/04/2013,3.039333
17/04/2013,3.03
18/04/2013,3.131333
19/04/2013,3.188667
22/04/2013,3.346
23/04/2013,3.400667
24/04/2013,3.362
25/04/2013,3.466667
26/04/2013,3.413333
29/04/2013,3.662667
30/04/2013,3.599333
01/05/2013,3.552
02/05/2013,3.607333
03/05/2013,3.636667
06/05/2013,3.966667
07/05/2013,3.700667
08/05/2013,3.719333
09/05/2013,4.626667
10/05/2013,5.117333
13/05/2013,5.853333
14/05/2013,5.549333
15/05/2013,5.656
16/05/2013,6.15
17/05/2013,6.1
20/05/2013,5.996
21/05/2013,5.839333
22/05/2013,5.816
23/05/2013,6.182
24/05/2013,6.472
28/05/2013,7.355333
29/05/2013,6.975333
30/05/2013,6.996667
31/05/2013,6.517333
03/06/2013,6.172667
04/06/2013,6.322667
05/06/2013,6.358
06/06/2013,6.49
07/06/2013,6.802667
10/06/2013,6.67
11/06/2013,6.298
12/06/2013,6.515333
13/06/2013,6.545333
14/06/2013,6.686667
17/06/2013,6.813333
18/06/2013,6.892667
19/06/2013,6.978667
20/06/2013,6.71
21/06/2013,6.636667
24/06/2013,6.766
25/06/2013,6.826667
26/06/2013,7.048
27/06/2013,7.283333
28/06/2013,7.157333
01/07/2013,7.812
02/07/2013,7.854667
03/07/2013,7.682667
05/07/2013,8.006
08/07/2013,8.107333
09/07/2013,8.23
10/07/2013,8.151333
11/07/2013,8.374
12/07/2013,8.66
15/07/2013,8.484
16/07/2013,7.27
17/07/2013,8.016667
18/07/2013,7.935333
19/07/2013,7.978667
22/07/2013,8.162
23/07/2013,8.182667
24/07/2013,8.113333
25/07/2013,8.271333
26/07/2013,8.626
29/07/2013,8.974667
30/07/2013,8.782667
31/07/2013,8.952
01/08/2013,9.036667
02/08/2013,9.2
05/08/2013,9.645333
06/08/2013,9.476667
07/08/2013,8.948667
08/08/2013,10.232
09/08/2013,10.2
12/08/2013,9.825333
13/08/2013,9.695333
14/08/2013,9.290667
15/08/2013,9.311333
16/08/2013,9.466667
19/08/2013,9.66
20/08/2013,9.972
21/08/2013,9.857333
22/08/2013,10.473333
23/08/2013,10.789333
26/08/2013,10.948
27/08/2013,11.134
28/08/2013,11.096667
29/08/2013,11.070667
30/08/2013,11.266667
03/09/2013,11.262667
04/09/2013,11.374667
05/09/2013,11.328667
06/09/2013,11.131333
09/09/2013,10.713333
10/09/2013,11.091333
11/09/2013,10.901333
12/09/2013,10.995333
13/09/2013,11.036
16/09/2013,11.105333
17/09/2013,11.082
18/09/2013,11.081333
19/09/2013,11.861333
20/09/2013,12.226
23/09/2013,12.074
24/09/2013,12.155333
25/09/2013,12.349333
26/09/2013,12.576
27/09/2013,12.726667
30/09/2013,12.891333
01/10/2013,12.866667
02/10/2013,12.063333
03/10/2013,11.554
04/10/2013,12.065333
07/10/2013,12.204667
08/10/2013,11.648667
09/10/2013,11.252
10/10/2013,11.528667
11/10/2013,11.913333
14/10/2013,11.981333
15/10/2013,12.262667
16/10/2013,12.237333
17/10/2013,12.186667
18/10/2013,12.226667
21/10/2013,11.506667
22/10/2013,11.436
23/10/2013,10.966667
24/10/2013,11.543333
25/10/2013,11.310667
28/10/2013,10.857333
29/10/2013,10.964667
30/10/2013,10.614667
31/10/2013,10.662667
01/11/2013,10.811333
04/11/2013,11.68
05/11/2013,11.787333
06/11/2013,10.077333
07/11/2013,9.318
08/11/2013,9.196667
11/11/2013,9.646667
12/11/2013,9.186667
13/11/2013,9.246667
14/11/2013,9.173333
15/11/2013,9.03
18/11/2013,8.105333
19/11/2013,8.406
20/11/2013,8.074
21/11/2013,8.14
22/11/2013,8.092
25/11/2013,8.056
26/11/2013,8.033333
27/11/2013,8.462667
29/11/2013,8.485333
02/12/2013,8.278
03/12/2013,9.646667
04/12/2013,9.263333
05/12/2013,9.365333
06/12/2013,9.157333
09/12/2013,9.44
10/12/2013,9.479333
11/12/2013,9.31
12/12/2013,9.831333
13/12/2013,9.843333
16/12/2013,9.862667
17/12/2013,10.164
18/12/2013,9.865333
19/12/2013,9.381333
20/12/2013,9.549333
23/12/2013,9.57
24/12/2013,10.094
26/12/2013,10.366667
27/12/2013,10.074667
30/12/2013,10.162667
31/12/2013,10.028667
02/01/2014,10.006667
03/01/2014,9.970667
06/01/2014,9.8
07/01/2014,9.957333
08/01/2014,10.085333
09/01/2014,9.835333
10/01/2014,9.714667
13/01/2014,9.289333
14/01/2014,10.751333
15/01/2014,10.942
16/01/2014,11.398
17/01/2014,11.334
21/01/2014,11.778667
22/01/2014,11.904
23/01/2014,12.1
24/01/2014,11.64
27/01/2014,11.308
28/01/2014,11.892
29/01/2014,11.682
30/01/2014,12.189333
31/01/2014,12.094
03/02/2014,11.807333
04/02/2014,11.915333
05/02/2014,11.628
06/02/2014,11.892
07/02/2014,12.435333
10/02/2014,13.104
11/02/2014,13.108
12/02/2014,13.021333
13/02/2014,13.308667
14/02/2014,13.215333
18/02/2014,13.58
19/02/2014,12.909333
20/02/2014,13.998
21/02/2014,13.973333
24/02/2014,14.51
25/02/2014,16.533333
26/02/2014,16.866667
27/02/2014,16.836
28/02/2014,16.320667
03/03/2014,16.704
04/03/2014,16.989332
05/03/2014,16.844
06/03/2014,16.862667
07/03/2014,16.414
10/03/2014,15.922667
11/03/2014,15.627333
12/03/2014,16.099333
13/03/2014,15.852667
14/03/2014,15.398
17/03/2014,15.598667
18/03/2014,16.002666
19/03/2014,15.722667
20/03/2014,15.660667
21/03/2014,15.259333
24/03/2014,14.678
25/03/2014,14.696
26/03/2014,14.197333
27/03/2014,13.821333
28/03/2014,14.158
31/03/2014,13.896667
01/04/2014,14.464667
02/04/2014,15.352667
03/04/2014,15.026667
04/04/2014,14.148667
07/04/2014,13.834667
08/04/2014,14.364
09/04/2014,14.462
10/04/2014,13.612667
11/04/2014,13.585333
14/04/2014,13.206
15/04/2014,12.927333
16/04/2014,13.274
17/04/2014,13.208
21/04/2014,13.625333
22/04/2014,14.576
23/04/2014,13.866
24/04/2014,13.857333
25/04/2014,13.323333
28/04/2014,13.234
29/04/2014,13.794667
30/04/2014,13.859333
01/05/2014,13.848667
02/05/2014,14.060667
05/05/2014,14.440667
06/05/2014,13.818667
07/05/2014,13.423333
08/05/2014,11.906
09/05/2014,12.150667
12/05/2014,12.311333
13/05/2014,12.677333
14/05/2014,12.708
15/05/2014,12.572667
16/05/2014,12.770667
19/05/2014,13.072667
20/05/2014,13.02
21/05/2014,13.296667
22/05/2014,13.658667
23/05/2014,13.82
27/05/2014,14.104
28/05/2014,14.016
29/05/2014,14.016
30/05/2014,13.851333
02/06/2014,13.646667
03/06/2014,13.662667
04/06/2014,13.599333
05/06/2014,13.793333
06/06/2014,13.878
09/06/2014,13.687333
10/06/2014,13.486667
11/06/2014,13.631333
12/06/2014,13.568
13/06/2014,13.761333
16/06/2014,14.974
17/06/2014,15.444667
18/06/2014,15.141333
19/06/2014,15.186
20/06/2014,15.306
23/06/2014,15.814667
24/06/2014,15.5
25/06/2014,15.792667
26/06/2014,15.706667
27/06/2014,15.937333
30/06/2014,16.004
01/07/2014,15.981333
02/07/2014,15.295333
03/07/2014,15.283333
07/07/2014,14.844
08/07/2014,14.604667
09/07/2014,14.870667
10/07/2014,14.630667
11/07/2014,14.542
14/07/2014,15.113333
