DATE,GOLD,OIL
01/08/2009,1175.75,78.08
01/09/2009,1087.5,74.3
01/10/2009,1078.5,78.22
01/11/2009,1108.25,76.42
01/12/2009,1115.5,81.24
01/01/2010,1179.25,84.48
01/02/2010,1207.5,73.84
01/03/2010,1244,75.35
01/04/2010,1169,76.37
01/05/2010,1246,76.82
01/06/2010,1307,75.31
01/07/2010,1346.75,81.9
01/08/2010,1383.5,84.14
01/09/2010,1405.5,89.04
01/10/2010,1327,89.42
01/11/2010,1411,89.58
01/12/2010,1439,102.94
01/01/2011,1535.5,110.04
01/02/2011,1536.5,101.33
01/03/2011,1505.5,96.29
01/04/2011,1628.5,97.19
01/05/2011,1813.5,86.33
01/06/2011,1620,85.61
01/07/2011,1722,86.41
01/08/2011,1746,97.21
01/09/2011,1531,98.57
01/10/2011,1744,100.24
01/11/2011,1770,102.25
01/12/2011,1662.5,106.19
01/01/2012,1651.25,103.33
01/02/2012,1558,94.7
01/03/2012,1598.5,82.41
01/04/2012,1622,87.93
01/05/2012,1648.5,94.16
01/06/2012,1776,94.72
01/07/2012,1719,89.57
01/08/2012,1726,86.66
01/09/2012,1657.5,88.25
01/10/2012,1664.75,94.69
01/11/2012,1588.5,95.32
01/12/2012,1598.25,93.05
01/01/2013,1469,92.07
01/02/2013,1394.5,94.8
01/03/2013,1192,95.8
01/04/2013,1314.5,104.61
01/05/2013,1394.75,106.57
01/06/2013,1326.5,106.29
01/07/2013,1324,100.54
01/08/2013,1253,93.86
01/09/2013,1204.5,97.63
01/10/2013,1251,94.62
01/11/2013,1326.5,100.82
01/12/2013,1291.75,100.8
01/01/2014,1288.5,102.07
01/02/2014,1250.5,102.18
01/03/2014,1315,105.79
01/04/2014,1285.25,103.59
01/05/2014,1285.75,96.54
01/06/2014,1216.5,93.21
01/07/2014,1164.25,84.4
01/08/2014,1182.75,75.79
01/09/2014,1206,59.29
01/10/2014,1260.25,47.22
01/11/2014,1214,50.58
01/12/2014,1187,47.82
01/01/2015,1180.25,54.45
01/02/2015,1191.4,59.27
01/03/2015,1171,59.82
01/04/2015,1098.4,50.9
01/05/2015,1135,42.87
01/06/2015,1114,45.48
01/07/2015,1142.35,46.22
01/08/2015,1061.9,42.44
01/09/2015,1060,37.19
01/10/2015,1111.8,31.68
01/11/2015,1234.9,30.32
01/12/2015,1237,37.55
01/01/2016,1285.65,40.75
01/02/2016,1212.1,46.71
01/03/2016,1320.75,48.76
01/04/2016,1342,44.65
01/05/2016,1309.25,44.72
01/06/2016,1322.5,45.18
01/07/2016,1272,49.78
01/08/2016,1178.1,45.66
01/09/2016,1145.9,51.97
01/10/2016,1212.8,52.5
